ean,item_cd,category,product_type,name_en,name_local,size_us,color,price_usd,price_local,currency,locale,fixture,depth,handle,image,n_images
3583783858336,2478028,apparel,Long-sleeved t-shirt,Simond Men's Travel 500 Merino Wool Long-sleeve Shirt,Simond Men's Travel 500 Merino Wool Long-sleeve Shirt,3XL,Slate Blue,40.00,40.0,USD,en-US,GF-R1-U7,12,simond-mens-travel-500-merino-wool-long-sleeve-shirt-4523,https://cdn.shopify.com/s/files/1/1330/6287/files/8504630-product_image-p2510724_d57b8b0a-2307-41bc-adc0-0f620716b28e.jpg?v=1771014098,14
3583783955769,2976475,apparel,Fleece,Quechua Men's NH500 Warm Hiking Fleece Jacket,Quechua Men's NH500 Warm Hiking Fleece Jacket,4XL,Black,55.00,55.0,USD,en-US,GF-R2-U1,12,sh100-u-warm-fleece-hiking-jacket-mens-304984,https://cdn.shopify.com/s/files/1/1330/6287/files/8526050-product_image-p2607189.jpg?v=1742382192,18
3583783962644,4018101,footwear,Shoes,Quechua Women's SH100 MID Warm and Waterproof Hiking Boots,Quechua Women's SH100 MID Warm and Waterproof Hiking Boots,11,Black,35.00,35.0,USD,en-US,PW-02,13,womens-snow-hiking-warm-boots-sh100,https://cdn.shopify.com/s/files/1/1330/6287/files/8367538-product_image-p1647641.jpg?v=1703074288,12
3583783992627,2458962,apparel,Leggings,Forclaz Women's merino wool legging underwear - MT500,Forclaz Women's merino wool legging underwear - MT500,2XL,Black,50.00,50.0,USD,en-US,GF-R2-U2,12,forclaz-trek-500-merino-backpacking-tights-womens,https://cdn.shopify.com/s/files/1/1330/6287/files/8510201-product_image-p2599251.jpg?v=1712057186,9
3583783992634,2458963,apparel,Leggings,Forclaz Women's merino wool legging underwear - MT500,Forclaz Women's merino wool legging underwear - MT500,2XS,Black,50.00,50.0,USD,en-US,GF-R2-U3,17,forclaz-trek-500-merino-backpacking-tights-womens,https://cdn.shopify.com/s/files/1/1330/6287/files/8510201-product_image-p2599251.jpg?v=1712057186,9
3583783994232,2964050,footwear,Shoes,Quechua Kids’ NH100 Velcro Hiking Shoes,Quechua Kids’ NH100 Velcro Hiking Shoes,7.5C,Strawberry Pink,14.00,14.0,USD,en-US,PW-03,6,quechua-mh100-low-rip-tab-hiking-boots-kids-size-11c-to-3-313072,https://cdn.shopify.com/s/files/1/1330/6287/files/8576133-product_image-p1869861.jpg?v=1745451152,11
3583783994249,4102125,footwear,Shoes,Quechua Kids’ NH100 Velcro Hiking Shoes,Quechua Kids’ NH100 Velcro Hiking Shoes,2.5,Strawberry Pink,14.00,14.0,USD,en-US,PW-04,13,quechua-mh100-low-rip-tab-hiking-boots-kids-size-11c-to-3-313072,https://cdn.shopify.com/s/files/1/1330/6287/files/8576133-product_image-p1869861.jpg?v=1745451152,11
3583783996175,2422429,apparel,Fleece,Quechua Women's MH120 Fleece Jacket,Quechua Women's MH120 Fleece Jacket,3XL,Black,34.99,34.99,USD,en-US,GF-R2-U4,11,womens-hiking-fleece-jacket-mh120-302556-302526,https://cdn.shopify.com/s/files/1/1330/6287/files/8550837-product_image-p2718231.jpg?v=1740184301,19
3583783997240,4097226,apparel,Fleece,Quechua Women's MH100 Hiking Fleece,Quechua Women's MH100 Hiking Fleece,2XL,Storm Grey,17.00,17.0,USD,en-US,GF-R2-U5,12,quechua-mh100-hiking-fleece-324607,https://cdn.shopify.com/s/files/1/1330/6287/files/966817-product_image-p2607079.jpg?v=1740180556,8
3583783997257,4097229,apparel,Fleece,Quechua Women's MH100 Hiking Fleece,Quechua Women's MH100 Hiking Fleece,L,Storm Grey,17.00,17.0,USD,en-US,GF-R2-U6,19,quechua-mh100-hiking-fleece-324607,https://cdn.shopify.com/s/files/1/1330/6287/files/966817-product_image-p2607079.jpg?v=1740180556,8
3583783997264,4097230,apparel,Fleece,Quechua Women's MH100 Hiking Fleece,Quechua Women's MH100 Hiking Fleece,M,Storm Grey,17.00,17.0,USD,en-US,GF-R2-U7,10,quechua-mh100-hiking-fleece-324607,https://cdn.shopify.com/s/files/1/1330/6287/files/966817-product_image-p2607079.jpg?v=1740180556,8
3583783997271,4097231,apparel,Fleece,Quechua Women's MH100 Hiking Fleece,Quechua Women's MH100 Hiking Fleece,S,Storm Grey,17.00,17.0,USD,en-US,GF-R3-U1,11,quechua-mh100-hiking-fleece-324607,https://cdn.shopify.com/s/files/1/1330/6287/files/966817-product_image-p2607079.jpg?v=1740180556,8
3583783997288,4097232,apparel,Fleece,Quechua Women's MH100 Hiking Fleece,Quechua Women's MH100 Hiking Fleece,XL,Storm Grey,17.00,17.0,USD,en-US,GF-R3-U2,21,quechua-mh100-hiking-fleece-324607,https://cdn.shopify.com/s/files/1/1330/6287/files/966817-product_image-p2607079.jpg?v=1740180556,8
3583783997295,4097233,apparel,Fleece,Quechua Women's MH100 Hiking Fleece,Quechua Women's MH100 Hiking Fleece,XS,Storm Grey,17.00,17.0,USD,en-US,GF-R3-U3,16,quechua-mh100-hiking-fleece-324607,https://cdn.shopify.com/s/files/1/1330/6287/files/966817-product_image-p2607079.jpg?v=1740180556,8
3583783999015,2956238,apparel,Fleece,Quechua Women's MH120 Fleece Jacket,Quechua Women's MH120 Fleece Jacket,3XL,Light Gray,34.99,34.99,USD,en-US,GF-R3-U4,12,quechua-womens-mh120-fleece-jacket-e302526-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8569508-product_image-p2937417.jpg?v=1755639332,11
3583784000253,4006892,footwear,Snow boots,Quechua Women's SH100 X-Warm Waterproof Mid Snow Boots,Quechua Women's SH100 X-Warm Waterproof Mid Snow Boots,10.5,Black,40.00,40.0,USD,en-US,PW-05,6,quechua-sh100-x-warm-waterproof-mid-snow-boots-womens-312022,https://cdn.shopify.com/s/files/1/1330/6287/files/8581754-product_image-p2579631.jpg?v=1712058112,5
3583784001717,2715913,footwear,Shoes,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,5.5,Asphalt Blue,55.00,55.0,USD,en-US,PW-06,7,quechua-womens-sh100-x-warm-waterproof-mid-hiking-boots-307238,https://cdn.shopify.com/s/files/1/1330/6287/files/8545370-product_image-p2579388.jpg?v=1712057576,23
3583784001724,2715915,footwear,Shoes,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,7.5,Asphalt Blue,55.00,55.0,USD,en-US,PW-07,12,quechua-womens-sh100-x-warm-waterproof-mid-hiking-boots-307238,https://cdn.shopify.com/s/files/1/1330/6287/files/8545370-product_image-p2579388.jpg?v=1712057576,23
3583784001731,2715916,footwear,Shoes,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,8,Asphalt Blue,55.00,55.0,USD,en-US,PW-08,7,quechua-womens-sh100-x-warm-waterproof-mid-hiking-boots-307238,https://cdn.shopify.com/s/files/1/1330/6287/files/8545370-product_image-p2579388.jpg?v=1712057576,23
3583784001748,2715917,footwear,Shoes,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,9,Asphalt Blue,55.00,55.0,USD,en-US,PE-01,6,quechua-womens-sh100-x-warm-waterproof-mid-hiking-boots-307238,https://cdn.shopify.com/s/files/1/1330/6287/files/8545370-product_image-p2579388.jpg?v=1712057576,23
3583784001755,2715918,footwear,Shoes,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,9.5,Asphalt Blue,55.00,55.0,USD,en-US,PE-02,11,quechua-womens-sh100-x-warm-waterproof-mid-hiking-boots-307238,https://cdn.shopify.com/s/files/1/1330/6287/files/8545370-product_image-p2579388.jpg?v=1712057576,23
3583784001762,2715919,footwear,Shoes,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,Quechua Women's SH100 X-Warm Waterproof Mid Hiking Boots,10.5,Asphalt Blue,55.00,55.0,USD,en-US,PE-03,8,quechua-womens-sh100-x-warm-waterproof-mid-hiking-boots-307238,https://cdn.shopify.com/s/files/1/1330/6287/files/8545370-product_image-p2579388.jpg?v=1712057576,23
3583784004657,4010710,accessories,Beanie,Wedze Adult Ski Beanie,Wedze Adult Ski Beanie,One Size,Asphalt Blue,12.99,12.99,USD,en-US,ACC-02,12,wedze-adult-ski-beanie-simple-324216-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8800670-product_image-p2611058_73342102-a319-47ef-8a0c-e0bee4639f65.jpg?v=1762804440,33
3583784007450,2686362,apparel,Ski pants,Wedze Men's 500 Warm Waterproof Snow Pants,Wedze Men's 500 Warm Waterproof Snow Pants,XS,Smoked Black,119.00,119.0,USD,en-US,GF-R3-U5,11,wedze-mens-warm-ski-pants-regular-500-black-141936-fw25,https://cdn.shopify.com/s/files/1/1330/6287/products/8545714-product_image-1691901.jpg?v=1693307856,8
3583784051163,2754928,apparel,Skort,Quechua Women's NH500 Hiking Skort,Quechua Women's NH500 Hiking Skort,3XL,Carbon Gray,25.00,25.0,USD,en-US,GF-R3-U6,17,quechua-womens-nh500-hiking-skort-308169,https://cdn.shopify.com/s/files/1/1330/6287/files/8554686-product_image-p2593155.jpg?v=1702904871,6
3583784076883,4303769,accessories,Water bottle waist pack,Kiprun Hydration Flask-Carrying Running Belt,Kiprun Hydration Flask-Carrying Running Belt,1,Black,20.00,20.0,USD,en-US,ACC-03,20,hydration-flask-carrying-running-belt-333176,https://cdn.shopify.com/s/files/1/1330/6287/files/8645720-product_image-p1973470.jpg?v=1740789998,10
3583784076890,4303770,accessories,Water bottle waist pack,Kiprun Hydration Flask-Carrying Running Belt,Kiprun Hydration Flask-Carrying Running Belt,2,Black,20.00,20.0,USD,en-US,ACC-04,15,hydration-flask-carrying-running-belt-333176,https://cdn.shopify.com/s/files/1/1330/6287/files/8645720-product_image-p1973470.jpg?v=1740789998,10
3583784081207,4303771,accessories,Water bottle waist pack,Kiprun Hydration Flask-Carrying Running Belt,Kiprun Hydration Flask-Carrying Running Belt,3,Black,20.00,20.0,USD,en-US,CO-IR,20,hydration-flask-carrying-running-belt-333176,https://cdn.shopify.com/s/files/1/1330/6287/files/8645720-product_image-p1973470.jpg?v=1740789998,10
3583784081214,4303772,accessories,Water bottle waist pack,Kiprun Hydration Flask-Carrying Running Belt,Kiprun Hydration Flask-Carrying Running Belt,4,Black,20.00,20.0,USD,en-US,GB-R5-U1,12,hydration-flask-carrying-running-belt-333176,https://cdn.shopify.com/s/files/1/1330/6287/files/8645720-product_image-p1973470.jpg?v=1740789998,10
3583784081221,4303773,accessories,Water bottle waist pack,Kiprun Hydration Flask-Carrying Running Belt,Kiprun Hydration Flask-Carrying Running Belt,5,Black,20.00,20.0,USD,en-US,GB-R5-U2,21,hydration-flask-carrying-running-belt-333176,https://cdn.shopify.com/s/files/1/1330/6287/files/8645720-product_image-p1973470.jpg?v=1740789998,10
3583784087940,4234213,accessories,Socks,Quechua Hike 500 Mid Hiking Socks - 2 Pairs,Quechua Hike 500 Mid Hiking Socks - 2 Pairs,13 - M15,Graphite Black,10.00,10.0,USD,en-US,GB-R5-U3,23,quechua-hike-500-mid-hiking-socks-2-pairs-e330181,https://cdn.shopify.com/s/files/1/1330/6287/files/8616568-product_image-p2579632.jpg?v=1755805980,6
3583784098113,4289568,apparel,Long-sleeved t-shirt,Simond Men's Alpinism Seamless Wool Long-Sleeve Shirt,Simond Men's Alpinism Seamless Wool Long-Sleeve Shirt,2XL,Carbon Gray,40.00,40.0,USD,en-US,GF-R3-U7,11,simond-mens-alpinism-seamless-wool-long-sleeve-shirt-313061,https://cdn.shopify.com/s/files/1/1330/6287/files/8644279-product_image-p2710416.jpg?v=1742382208,9
3583784106146,4097228,apparel,Fleece,Quechua Women's MH100 Hiking Fleece,Quechua Women's MH100 Hiking Fleece,3XL,Storm Grey,17.00,17.0,USD,en-US,GF-R4-U1,9,quechua-mh100-hiking-fleece-324607,https://cdn.shopify.com/s/files/1/1330/6287/files/966817-product_image-p2607079.jpg?v=1740180556,8
3583784114417,4434724,outdoor,Mountain bike,Rockrider XC50 Mountain Bike 29'',Rockrider XC50 Mountain Bike 29'',"S / 4'11"" - 5'5""",Black,749.00,749.0,USD,en-US,GF-R6-U3,3,xc50-mountain-bike-29-311942,https://cdn.shopify.com/s/files/1/1330/6287/products/8663746-product_image-1708627.jpg?v=1751379306,18
3583784114424,4434725,outdoor,Mountain bike,Rockrider XC50 Mountain Bike 29'',Rockrider XC50 Mountain Bike 29'',"M / 5'5"" - 5'8""",Black,749.00,749.0,USD,en-US,GF-R6-U4,1,xc50-mountain-bike-29-311942,https://cdn.shopify.com/s/files/1/1330/6287/products/8663746-product_image-1708627.jpg?v=1751379306,18
3583784114431,4434726,outdoor,Mountain bike,Rockrider XC50 Mountain Bike 29'',Rockrider XC50 Mountain Bike 29'',"L / 5'8"" - 6'1""",Black,749.00,749.0,USD,en-US,GF-R6-U5,2,xc50-mountain-bike-29-311942,https://cdn.shopify.com/s/files/1/1330/6287/products/8663746-product_image-1708627.jpg?v=1751379306,18
3583784120432,4272073,apparel,Jacket,Wedze Women's 100 Waterproof Ski Jacket,Wedze Women's 100 Waterproof Ski Jacket,2XL,Smoked Black,79.99,79.99,USD,en-US,GF-R4-U2,21,wedze-womens-ski-jacket-100-black-328197-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8641855-product_image-p2598842.jpg?v=1755285291,10
3583784120456,4272075,apparel,Jacket,Wedze Women's 100 Waterproof Ski Jacket,Wedze Women's 100 Waterproof Ski Jacket,3XL,Smoked Black,79.99,79.99,USD,en-US,GF-R4-U3,12,wedze-womens-ski-jacket-100-black-328197-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8641855-product_image-p2598842.jpg?v=1755285291,10
3583784151122,4246041,apparel,Shorts,Quechua Women's MH100 Hiking Shorts,Quechua Women's MH100 Hiking Shorts,XS,Dark Blue,20.00,20.0,USD,en-US,GF-R4-U4,15,womens-mountain-walking-shorts-mh100-331027,https://cdn.shopify.com/s/files/1/1330/6287/files/8619679-product_image-p2201492.jpg?v=1750232784,5
3583784151139,4246042,apparel,Shorts,Quechua Women's MH100 Hiking Shorts,Quechua Women's MH100 Hiking Shorts,XS - S,Dark Blue,20.00,20.0,USD,en-US,GF-R4-U5,19,womens-mountain-walking-shorts-mh100-331027,https://cdn.shopify.com/s/files/1/1330/6287/files/8619679-product_image-p2201492.jpg?v=1750232784,5
3583784151146,4246043,apparel,Shorts,Quechua Women's MH100 Hiking Shorts,Quechua Women's MH100 Hiking Shorts,S,Dark Blue,20.00,20.0,USD,en-US,GF-R4-U6,19,womens-mountain-walking-shorts-mh100-331027,https://cdn.shopify.com/s/files/1/1330/6287/files/8619679-product_image-p2201492.jpg?v=1750232784,5
3583784151153,4246044,apparel,Shorts,Quechua Women's MH100 Hiking Shorts,Quechua Women's MH100 Hiking Shorts,M,Dark Blue,20.00,20.0,USD,en-US,GF-R4-U7,21,womens-mountain-walking-shorts-mh100-331027,https://cdn.shopify.com/s/files/1/1330/6287/files/8619679-product_image-p2201492.jpg?v=1750232784,5
3583784151160,4246045,apparel,Shorts,Quechua Women's MH100 Hiking Shorts,Quechua Women's MH100 Hiking Shorts,L,Dark Blue,20.00,20.0,USD,en-US,GB-R1-U1,15,womens-mountain-walking-shorts-mh100-331027,https://cdn.shopify.com/s/files/1/1330/6287/files/8619679-product_image-p2201492.jpg?v=1750232784,5
3583784151177,4246046,apparel,Shorts,Quechua Women's MH100 Hiking Shorts,Quechua Women's MH100 Hiking Shorts,L / XL,Dark Blue,20.00,20.0,USD,en-US,GB-R1-U2,14,womens-mountain-walking-shorts-mh100-331027,https://cdn.shopify.com/s/files/1/1330/6287/files/8619679-product_image-p2201492.jpg?v=1750232784,5
3583784151504,4194317,apparel,Jacket,Quechua Men's MH500 Hiking Lightweight Waterproof Jacket,Quechua Men's MH500 Hiking Lightweight Waterproof Jacket,3XL,Black,149.00,149.0,USD,en-US,GB-R1-U3,12,quechua-mh500-waterproof-hiking-jacket-mens-301681,https://cdn.shopify.com/s/files/1/1330/6287/files/8785247-product_image-p2583866_49c0ff2e-3d22-4f6e-b0f3-593848e9a0cb.jpg?v=1744324152,30
3583784155137,4194525,footwear,Shoes,Quechua Women's MH100 Hiking Shoes,Quechua Women's MH100 Hiking Shoes,10.5,Pewter,45.00,45.0,USD,en-US,PE-04,11,womens-mountain-walking-shoes-mh100-grey-green-156123,https://cdn.shopify.com/s/files/1/1330/6287/files/8612193-product_image-p1920394.jpg?v=1700656000,6
3583784213905,4564026,accessories,Gloves,Kiprun Adult Evolutiv V2 Convertable Running Gloves with Mittens,Kiprun Adult Evolutiv V2 Convertable Running Gloves with Mittens,XS,Smoked Black,24.99,24.99,USD,en-US,GB-R5-U4,22,evolutive-gloves-with-additional-mitten-cover-black-340804-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8759614-product_image-p2698477.jpg?v=1755549598,10
3583784213912,4564029,accessories,Gloves,Kiprun Adult Evolutiv V2 Convertable Running Gloves with Mittens,Kiprun Adult Evolutiv V2 Convertable Running Gloves with Mittens,2XL,Smoked Black,24.99,24.99,USD,en-US,GB-R5-U5,20,evolutive-gloves-with-additional-mitten-cover-black-340804-fw25,https://cdn.shopify.com/s/files/1/1330/6287/files/8759614-product_image-p2698477.jpg?v=1755549598,10
3583784222587,4402527,apparel,Leggings,Quechua Men's MH100 Fleece Hiking Tights,Quechua Men's MH100 Fleece Hiking Tights,S,Black,29.99,29.99,USD,en-US,GB-R1-U4,20,quechua-mens-mh100-fleece-hiking-tights-15939,https://cdn.shopify.com/s/files/1/1330/6287/files/8666249-product_image-p2658443.jpg?v=1705580393,5
3583784222594,4402528,apparel,Leggings,Quechua Men's MH100 Fleece Hiking Tights,Quechua Men's MH100 Fleece Hiking Tights,M,Black,29.99,29.99,USD,en-US,GB-R1-U5,17,quechua-mens-mh100-fleece-hiking-tights-15939,https://cdn.shopify.com/s/files/1/1330/6287/files/8666249-product_image-p2658443.jpg?v=1705580393,5
3583784222976,4311924,apparel,Leggings,Quechua Women's MH100 Hiking Fleece Tights,Quechua Women's MH100 Hiking Fleece Tights,W38 L31,Black,18.00,18.0,USD,en-US,GB-R1-U6,12,quechua-womens-mh100-hiking-fleece-tights-333238,https://cdn.shopify.com/s/files/1/1330/6287/files/8646503-product_image-p2582520.jpg?v=1712059176,1
3583784222983,4311926,apparel,Leggings,Quechua Women's MH100 Hiking Fleece Tights,Quechua Women's MH100 Hiking Fleece Tights,W33 L31,Black,18.00,18.0,USD,en-US,GB-R1-U7,14,quechua-womens-mh100-hiking-fleece-tights-333238,https://cdn.shopify.com/s/files/1/1330/6287/files/8646503-product_image-p2582520.jpg?v=1712059176,1
3583784222990,4311928,apparel,Leggings,Quechua Women's MH100 Hiking Fleece Tights,Quechua Women's MH100 Hiking Fleece Tights,W30 L31,Black,18.00,18.0,USD,en-US,GB-R2-U1,13,quechua-womens-mh100-hiking-fleece-tights-333238,https://cdn.shopify.com/s/files/1/1330/6287/files/8646503-product_image-p2582520.jpg?v=1712059176,1
3583784223768,4557085,apparel,Parka,Quechua Men's NH900 Winter Waterproof Hiking Parka,Quechua Men's NH900 Winter Waterproof Hiking Parka,S,Black,229.00,229.0,USD,en-US,GB-R2-U2,18,quechua-mens-sh900-waterproof-parka-340345,https://cdn.shopify.com/s/files/1/1330/6287/files/8755599-product_image-p2294228.jpg?v=1718730987,14
3583784223775,4557086,apparel,Parka,Quechua Men's NH900 Winter Waterproof Hiking Parka,Quechua Men's NH900 Winter Waterproof Hiking Parka,M,Black,229.00,229.0,USD,en-US,GB-R2-U3,16,quechua-mens-sh900-waterproof-parka-340345,https://cdn.shopify.com/s/files/1/1330/6287/files/8755599-product_image-p2294228.jpg?v=1718730987,14
3583784223782,4557087,apparel,Parka,Quechua Men's NH900 Winter Waterproof Hiking Parka,Quechua Men's NH900 Winter Waterproof Hiking Parka,L,Black,229.00,229.0,USD,en-US,GB-R2-U4,13,quechua-mens-sh900-waterproof-parka-340345,https://cdn.shopify.com/s/files/1/1330/6287/files/8755599-product_image-p2294228.jpg?v=1718730987,14
3583784223799,4557088,apparel,Parka,Quechua Men's NH900 Winter Waterproof Hiking Parka,Quechua Men's NH900 Winter Waterproof Hiking Parka,XL,Black,229.00,229.0,USD,en-US,GB-R2-U5,15,quechua-mens-sh900-waterproof-parka-340345,https://cdn.shopify.com/s/files/1/1330/6287/files/8755599-product_image-p2294228.jpg?v=1718730987,14
3583784224703,4402529,apparel,Leggings,Quechua Men's MH100 Fleece Hiking Tights,Quechua Men's MH100 Fleece Hiking Tights,L,Black,29.99,29.99,USD,en-US,GB-R2-U6,10,quechua-mens-mh100-fleece-hiking-tights-15939,https://cdn.shopify.com/s/files/1/1330/6287/files/8666249-product_image-p2658443.jpg?v=1705580393,5
3583784224710,4402530,apparel,Leggings,Quechua Men's MH100 Fleece Hiking Tights,Quechua Men's MH100 Fleece Hiking Tights,2XL,Black,29.99,29.99,USD,en-US,GB-R2-U7,15,quechua-mens-mh100-fleece-hiking-tights-15939,https://cdn.shopify.com/s/files/1/1330/6287/files/8666249-product_image-p2658443.jpg?v=1705580393,5
3583784224727,4402531,apparel,Leggings,Quechua Men's MH100 Fleece Hiking Tights,Quechua Men's MH100 Fleece Hiking Tights,XL,Black,29.99,29.99,USD,en-US,GB-R3-U1,17,quechua-mens-mh100-fleece-hiking-tights-15939,https://cdn.shopify.com/s/files/1/1330/6287/files/8666249-product_image-p2658443.jpg?v=1705580393,5
3583784224734,4402532,apparel,Leggings,Quechua Men's MH100 Fleece Hiking Tights,Quechua Men's MH100 Fleece Hiking Tights,3XL,Black,29.99,29.99,USD,en-US,GB-R3-U2,10,quechua-mens-mh100-fleece-hiking-tights-15939,https://cdn.shopify.com/s/files/1/1330/6287/files/8666249-product_image-p2658443.jpg?v=1705580393,5
3583784224802,4311930,apparel,Leggings,Quechua Women's MH100 Hiking Fleece Tights,Quechua Women's MH100 Hiking Fleece Tights,W28 L31,Black,18.00,18.0,USD,en-US,GB-R3-U3,11,quechua-womens-mh100-hiking-fleece-tights-333238,https://cdn.shopify.com/s/files/1/1330/6287/files/8646503-product_image-p2582520.jpg?v=1712059176,1
3583784224819,4311933,apparel,Leggings,Quechua Women's MH100 Hiking Fleece Tights,Quechua Women's MH100 Hiking Fleece Tights,W35 L31,Black,18.00,18.0,USD,en-US,GB-R3-U4,16,quechua-womens-mh100-hiking-fleece-tights-333238,https://cdn.shopify.com/s/files/1/1330/6287/files/8646503-product_image-p2582520.jpg?v=1712059176,1
3583784224826,4311935,apparel,Leggings,Quechua Women's MH100 Hiking Fleece Tights,Quechua Women's MH100 Hiking Fleece Tights,W26 L30,Black,18.00,18.0,USD,en-US,GB-R3-U5,16,quechua-womens-mh100-hiking-fleece-tights-333238,https://cdn.shopify.com/s/files/1/1330/6287/files/8646503-product_image-p2582520.jpg?v=1712059176,1
3583784226011,4272515,apparel,Jacket,Quechua Men's NH500 Waterproof Winter Jacket,Quechua Men's NH500 Waterproof Winter Jacket,2XL,Black,99.99,99.99,USD,en-US,GB-R3-U6,20,mens-hiking-waterproof-winter-jacket-sh500-14-f-331992,https://cdn.shopify.com/s/files/1/1330/6287/files/8641932-product_image-p2294311.jpg?v=1718730856,7
3583784226028,4272516,apparel,Jacket,Quechua Men's NH500 Waterproof Winter Jacket,Quechua Men's NH500 Waterproof Winter Jacket,3XL,Black,99.99,99.99,USD,en-US,GB-R3-U7,21,mens-hiking-waterproof-winter-jacket-sh500-14-f-331992,https://cdn.shopify.com/s/files/1/1330/6287/files/8641932-product_image-p2294311.jpg?v=1718730856,7
3583784226035,4272519,apparel,Jacket,Quechua Men's NH500 Waterproof Winter Jacket,Quechua Men's NH500 Waterproof Winter Jacket,L,Black,99.99,99.99,USD,en-US,GB-R4-U1,12,mens-hiking-waterproof-winter-jacket-sh500-14-f-331992,https://cdn.shopify.com/s/files/1/1330/6287/files/8641932-product_image-p2294311.jpg?v=1718730856,7
