classification_key,parent_key,name,lifecycle_type,attributes_schema
accessory.aa,accessory,ACCESSORY GLASSES,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.ab,accessory,ACCESSORY BAG,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.ac,accessory,ACCESSORY ETC,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.ag,accessory,ACCESSORY GLOVES,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.ah,accessory,ACCESSORY HOOD,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.aj,accessory,JEWELRY,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.am,accessory,ACCESSORY MUFFLER,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.ao,accessory,ACCESSORY SOCKS,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.ap,accessory,ACCESSORY CAP,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.as,accessory,ACCESSORY SHOES,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.at,accessory,ACCESSORY BELT,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.au,accessory,ACCESSORY UMBRELLA,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.aw,accessory,ACCESSORY WALLET,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessory.ax,accessory,ACCESSORY BELT,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
cut_and_sew.tj,cut_and_sew,C&S JUMPER,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
cut_and_sew.tk,cut_and_sew,C&S SKIRT,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
cut_and_sew.to,cut_and_sew,C&S O-PIECE,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
cut_and_sew.tp,cut_and_sew,C&S PANTS,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
cut_and_sew.ts,cut_and_sew,C&S T-SHIRTS,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
denim.dc,denim,DENIM COAT,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
denim.dj,denim,DENIM JACKET,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
denim.dk,denim,DENIM SKIRT,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
denim.do,denim,DENIM OVER ALL,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
denim.dp,denim,DENIM PANTS,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
denim.ds,denim,DENIM SHIRT,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
denim.dv,denim,DENIM VEST,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
knit.kc,knit,KNIT CARDIGAN,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
knit.kt,knit,KNIT P/OVER,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
knit.kv,knit,KNIT VEST,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
leather.li,leather,LEATHER IMITATION,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
leather.lr,leather,LEATHER REAL,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
material.fa,material,FABRIC,material,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
material.fb,material,SUBSIDIERY,material,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
material.xx,material,Sample Cloth,material,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
non_merchandise.y1,non_merchandise,SHOPPING BAG,non_merchandise,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
non_merchandise.y2,non_merchandise,HANGER,non_merchandise,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
non_merchandise.y3,non_merchandise,원/부폐기,non_merchandise,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
non_merchandise.y4,non_merchandise,원/부매각,non_merchandise,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
non_merchandise.y5,non_merchandise,FREE GIFT,non_merchandise,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
non_merchandise.z0,non_merchandise,EVENT,non_merchandise,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":true,""x-lookup"":""brand"",""x-facet"":true},""season"":{""type"":""string"",""x-coded"":true,""x-lookup"":""season"",""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""mk_brand_size"",""x-facet"":true},""year"":{""type"":""string"",""x-coded"":true,""x-lookup"":""year"",""x-facet"":true}},""required"":[""color"",""brand""]}"
