style_color_size,style_no,brand,brand_name,year,season,season_name,item,item_name,classification_key,serial,division,color,color_name,color_ko,family,swatch,size
T221DJ012P5185,T221DJ012P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,012,P,51,GREEN,그린,Green,#3f7d3a,85
T221DJ012P5190,T221DJ012P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,012,P,51,GREEN,그린,Green,#3f7d3a,90
T221DJ012P5195,T221DJ012P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,012,P,51,GREEN,그린,Green,#3f7d3a,95
T221DJ012P51100,T221DJ012P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,012,P,51,GREEN,그린,Green,#3f7d3a,100
T221DJ012P51105,T221DJ012P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,012,P,51,GREEN,그린,Green,#3f7d3a,105
T221DJ012P51F,T221DJ012P,T,TBJ,22,1,SPRING,DJ,DENIM JACKET,denim.dj,012,P,51,GREEN,그린,Green,#3f7d3a,F
T221DP013P0028,T221DP013P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,013,P,00,WHITE,화이트,White,#f5f5f5,28
T221DP013P0030,T221DP013P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,013,P,00,WHITE,화이트,White,#f5f5f5,30
T221DP013P0032,T221DP013P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,013,P,00,WHITE,화이트,White,#f5f5f5,32
T221DP013P0034,T221DP013P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,013,P,00,WHITE,화이트,White,#f5f5f5,34
T221DP013P0036,T221DP013P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,013,P,00,WHITE,화이트,White,#f5f5f5,36
T221DP013P00F,T221DP013P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,013,P,00,WHITE,화이트,White,#f5f5f5,F
T221DP014P0628,T221DP014P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,014,P,06,NAVY,네이비,Blue,#1f4e8c,28
T221DP014P0630,T221DP014P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,014,P,06,NAVY,네이비,Blue,#1f4e8c,30
T221DP014P0632,T221DP014P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,014,P,06,NAVY,네이비,Blue,#1f4e8c,32
T221DP014P0634,T221DP014P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,014,P,06,NAVY,네이비,Blue,#1f4e8c,34
T221DP014P0636,T221DP014P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,014,P,06,NAVY,네이비,Blue,#1f4e8c,36
T221DP014P06F,T221DP014P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,014,P,06,NAVY,네이비,Blue,#1f4e8c,F
T221DP015P1928,T221DP015P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,015,P,19,BLACK,블랙,Black,#1a1a1a,28
T221DP015P1930,T221DP015P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,015,P,19,BLACK,블랙,Black,#1a1a1a,30
T221DP015P1932,T221DP015P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,015,P,19,BLACK,블랙,Black,#1a1a1a,32
T221DP015P1934,T221DP015P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,015,P,19,BLACK,블랙,Black,#1a1a1a,34
T221DP015P1936,T221DP015P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,015,P,19,BLACK,블랙,Black,#1a1a1a,36
T221DP015P19F,T221DP015P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,015,P,19,BLACK,블랙,Black,#1a1a1a,F
T221DP016P1228,T221DP016P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,016,P,12,GREY,그레이,Gray,#808080,28
T221DP016P1230,T221DP016P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,016,P,12,GREY,그레이,Gray,#808080,30
T221DP016P1232,T221DP016P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,016,P,12,GREY,그레이,Gray,#808080,32
T221DP016P1234,T221DP016P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,016,P,12,GREY,그레이,Gray,#808080,34
T221DP016P1236,T221DP016P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,016,P,12,GREY,그레이,Gray,#808080,36
T221DP016P12F,T221DP016P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,016,P,12,GREY,그레이,Gray,#808080,F
T221DP017P3128,T221DP017P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,017,P,31,PINK,핑크,Pink,#e84d8a,28
T221DP017P3130,T221DP017P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,017,P,31,PINK,핑크,Pink,#e84d8a,30
T221DP017P3132,T221DP017P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,017,P,31,PINK,핑크,Pink,#e84d8a,32
T221DP017P3134,T221DP017P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,017,P,31,PINK,핑크,Pink,#e84d8a,34
T221DP017P3136,T221DP017P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,017,P,31,PINK,핑크,Pink,#e84d8a,36
T221DP017P31F,T221DP017P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,017,P,31,PINK,핑크,Pink,#e84d8a,F
T221DP018P5128,T221DP018P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,018,P,51,GREEN,그린,Green,#3f7d3a,28
T221DP018P5130,T221DP018P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,018,P,51,GREEN,그린,Green,#3f7d3a,30
T221DP018P5132,T221DP018P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,018,P,51,GREEN,그린,Green,#3f7d3a,32
T221DP018P5134,T221DP018P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,018,P,51,GREEN,그린,Green,#3f7d3a,34
T221DP018P5136,T221DP018P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,018,P,51,GREEN,그린,Green,#3f7d3a,36
T221DP018P51F,T221DP018P,T,TBJ,22,1,SPRING,DP,DENIM PANTS,denim.dp,018,P,51,GREEN,그린,Green,#3f7d3a,F
T221JK019P0085,T221JK019P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,019,P,00,WHITE,화이트,White,#f5f5f5,85
T221JK019P0090,T221JK019P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,019,P,00,WHITE,화이트,White,#f5f5f5,90
T221JK019P0095,T221JK019P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,019,P,00,WHITE,화이트,White,#f5f5f5,95
T221JK019P00100,T221JK019P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,019,P,00,WHITE,화이트,White,#f5f5f5,100
T221JK019P00105,T221JK019P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,019,P,00,WHITE,화이트,White,#f5f5f5,105
T221JK019P00F,T221JK019P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,019,P,00,WHITE,화이트,White,#f5f5f5,F
T221JK020P0685,T221JK020P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,020,P,06,NAVY,네이비,Blue,#1f4e8c,85
T221JK020P0690,T221JK020P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,020,P,06,NAVY,네이비,Blue,#1f4e8c,90
T221JK020P0695,T221JK020P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,020,P,06,NAVY,네이비,Blue,#1f4e8c,95
T221JK020P06100,T221JK020P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,020,P,06,NAVY,네이비,Blue,#1f4e8c,100
T221JK020P06105,T221JK020P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,020,P,06,NAVY,네이비,Blue,#1f4e8c,105
T221JK020P06F,T221JK020P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,020,P,06,NAVY,네이비,Blue,#1f4e8c,F
T221JK021P1985,T221JK021P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,021,P,19,BLACK,블랙,Black,#1a1a1a,85
T221JK021P1990,T221JK021P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,021,P,19,BLACK,블랙,Black,#1a1a1a,90
T221JK021P1995,T221JK021P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,021,P,19,BLACK,블랙,Black,#1a1a1a,95
T221JK021P19100,T221JK021P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,021,P,19,BLACK,블랙,Black,#1a1a1a,100
T221JK021P19105,T221JK021P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,021,P,19,BLACK,블랙,Black,#1a1a1a,105
T221JK021P19F,T221JK021P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,021,P,19,BLACK,블랙,Black,#1a1a1a,F
T221JK022P1285,T221JK022P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,022,P,12,GREY,그레이,Gray,#808080,85
T221JK022P1290,T221JK022P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,022,P,12,GREY,그레이,Gray,#808080,90
T221JK022P1295,T221JK022P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,022,P,12,GREY,그레이,Gray,#808080,95
T221JK022P12100,T221JK022P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,022,P,12,GREY,그레이,Gray,#808080,100
T221JK022P12105,T221JK022P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,022,P,12,GREY,그레이,Gray,#808080,105
T221JK022P12F,T221JK022P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,022,P,12,GREY,그레이,Gray,#808080,F
T221JK023P3185,T221JK023P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,023,P,31,PINK,핑크,Pink,#e84d8a,85
T221JK023P3190,T221JK023P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,023,P,31,PINK,핑크,Pink,#e84d8a,90
T221JK023P3195,T221JK023P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,023,P,31,PINK,핑크,Pink,#e84d8a,95
T221JK023P31100,T221JK023P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,023,P,31,PINK,핑크,Pink,#e84d8a,100
T221JK023P31105,T221JK023P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,023,P,31,PINK,핑크,Pink,#e84d8a,105
T221JK023P31F,T221JK023P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,023,P,31,PINK,핑크,Pink,#e84d8a,F
T221JK024P5185,T221JK024P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,024,P,51,GREEN,그린,Green,#3f7d3a,85
T221JK024P5190,T221JK024P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,024,P,51,GREEN,그린,Green,#3f7d3a,90
T221JK024P5195,T221JK024P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,024,P,51,GREEN,그린,Green,#3f7d3a,95
T221JK024P51100,T221JK024P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,024,P,51,GREEN,그린,Green,#3f7d3a,100
T221JK024P51105,T221JK024P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,024,P,51,GREEN,그린,Green,#3f7d3a,105
T221JK024P51F,T221JK024P,T,TBJ,22,1,SPRING,JK,WOVEN JACKET,woven.jk,024,P,51,GREEN,그린,Green,#3f7d3a,F
T221SH025P0085,T221SH025P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,025,P,00,WHITE,화이트,White,#f5f5f5,85
T221SH025P0090,T221SH025P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,025,P,00,WHITE,화이트,White,#f5f5f5,90
T221SH025P0095,T221SH025P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,025,P,00,WHITE,화이트,White,#f5f5f5,95
T221SH025P00100,T221SH025P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,025,P,00,WHITE,화이트,White,#f5f5f5,100
T221SH025P00105,T221SH025P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,025,P,00,WHITE,화이트,White,#f5f5f5,105
T221SH025P00F,T221SH025P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,025,P,00,WHITE,화이트,White,#f5f5f5,F
T221SH026P0685,T221SH026P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,026,P,06,NAVY,네이비,Blue,#1f4e8c,85
T221SH026P0690,T221SH026P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,026,P,06,NAVY,네이비,Blue,#1f4e8c,90
T221SH026P0695,T221SH026P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,026,P,06,NAVY,네이비,Blue,#1f4e8c,95
T221SH026P06100,T221SH026P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,026,P,06,NAVY,네이비,Blue,#1f4e8c,100
T221SH026P06105,T221SH026P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,026,P,06,NAVY,네이비,Blue,#1f4e8c,105
T221SH026P06F,T221SH026P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,026,P,06,NAVY,네이비,Blue,#1f4e8c,F
T221SH027P1985,T221SH027P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,027,P,19,BLACK,블랙,Black,#1a1a1a,85
T221SH027P1990,T221SH027P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,027,P,19,BLACK,블랙,Black,#1a1a1a,90
T221SH027P1995,T221SH027P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,027,P,19,BLACK,블랙,Black,#1a1a1a,95
T221SH027P19100,T221SH027P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,027,P,19,BLACK,블랙,Black,#1a1a1a,100
T221SH027P19105,T221SH027P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,027,P,19,BLACK,블랙,Black,#1a1a1a,105
T221SH027P19F,T221SH027P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,027,P,19,BLACK,블랙,Black,#1a1a1a,F
T221SH028P1285,T221SH028P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,028,P,12,GREY,그레이,Gray,#808080,85
T221SH028P1290,T221SH028P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,028,P,12,GREY,그레이,Gray,#808080,90
T221SH028P1295,T221SH028P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,028,P,12,GREY,그레이,Gray,#808080,95
T221SH028P12100,T221SH028P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,028,P,12,GREY,그레이,Gray,#808080,100
T221SH028P12105,T221SH028P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,028,P,12,GREY,그레이,Gray,#808080,105
T221SH028P12F,T221SH028P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,028,P,12,GREY,그레이,Gray,#808080,F
T221SH029P3185,T221SH029P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,029,P,31,PINK,핑크,Pink,#e84d8a,85
T221SH029P3190,T221SH029P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,029,P,31,PINK,핑크,Pink,#e84d8a,90
T221SH029P3195,T221SH029P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,029,P,31,PINK,핑크,Pink,#e84d8a,95
T221SH029P31100,T221SH029P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,029,P,31,PINK,핑크,Pink,#e84d8a,100
T221SH029P31105,T221SH029P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,029,P,31,PINK,핑크,Pink,#e84d8a,105
T221SH029P31F,T221SH029P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,029,P,31,PINK,핑크,Pink,#e84d8a,F
T221SH030P5185,T221SH030P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,030,P,51,GREEN,그린,Green,#3f7d3a,85
T221SH030P5190,T221SH030P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,030,P,51,GREEN,그린,Green,#3f7d3a,90
T221SH030P5195,T221SH030P,T,TBJ,22,1,SPRING,SH,WOVEN SHIRT,woven.sh,030,P,51,GREEN,그린,Green,#3f7d3a,95
