ean,item_cd,category,name_en,name_kr,needs_xlate,size_us,color,price_usd,fixture,depth
3608391193430,5035972,apparel,"LONG TIGHT RUN 100, UK 30\"" / EU S (L33)","LONG TIGHT RUN 100, UK 30"" / EU S (L33)",0,S,Teal,18.62,GF-R1-U1,7
3608390281572,4899422,apparel,"Run500 thin MID X2 black, 5.5-8 - 39/42","Run500 thin MID X2 black, 5.5-8 - 39/42",0,OS,Black,29.55,GF-R1-U2,6
3608390279678,4898469,apparel,"Run500 thick mid X2 blac, 8.5-11 - 43/46","Run500 thick mid X2 blac, 8.5-11 - 43/46",0,OS,Green,54.73,GF-R1-U3,10
3608392934490,5334692,apparel,"LS TS 1/2 ZIP RUN 500 WARM BL, L [short]","LS TS 1/2 ZIP RUN 500 WARM BL, L [short]",0,L,Red,30.92,GF-R1-U4,7
3608391007393,5102869,apparel,"Pant Ski & Snb 100 M Blac UK 37\"" / EU XL","Pant Ski & Snb 100 M Blac UK 37"" / EU XL",0,M,Orange,20.41,GF-R1-U5,10
3608390281107,4898474,apparel,"Run500 thick mid X2 white, 5.5-8 - 39/42","Run500 thick mid X2 white, 5.5-8 - 39/42",0,OS,White,39.4,GF-R1-U6,5
3608392436185,5445826,apparel,"CN JACKET WIND RUN 100 M WHI, XL [short]","CN JACKET WIND RUN 100 M WHI, XL [short]",0,M,Blue,49.46,GF-R1-U7,5
3608392939983,5476871,apparel,"LS TS 1/2 ZIP RUN 500 WARM G, XL [short]","LS TS 1/2 ZIP RUN 500 WARM G, XL [short]",0,XL,Grey,43.17,GF-R2-U1,8
3583784782456,4884399,apparel,"Pant Warm 100 M Black, 41\"" / 2XL (L32)","Pant Warm 100 M Black, 41"" / 2XL (L32)",0,M,Black,65.8,GF-R2-U2,8
3583784783934,4884415,apparel,"Pant WARM 100 M BLUE G19, 37\"" / XL (L32)","Pant WARM 100 M BLUE G19, 37"" / XL (L32)",0,M,Blue,42.71,GF-R2-U3,9
3608392436130,5445821,apparel,"CN JACKET WIND RUN 100 M WHIT, L [short]","CN JACKET WIND RUN 100 M WHIT, L [short]",0,M,White,27.6,GF-R2-U4,12
3608390203383,4577906,apparel,"LS TS KIPRUN SKINCARE W BLAC, UK8 / EU S","LS TS KIPRUN SKINCARE W BLAC, UK8 / EU S",0,S,White,57.34,GF-R2-U5,6
3608391007379,5102867,apparel,"Pant Ski & Snb 100 M Black UK 32\"" / EU M","Pant Ski & Snb 100 M Black UK 32"" / EU M",0,M,Black,30.31,GF-R2-U6,11
3608391553951,5205441,apparel,"PANT RUN 100 M DRY, UK 34\"" / EU L (L32)","PANT RUN 100 M DRY, UK 34"" / EU L (L32)",0,M,Teal,53.21,GF-R2-U7,8
3608392930102,5476650,apparel,"JACKET RUN 100 M WARM GREY N1, L [short]","JACKET RUN 100 M WARM GREY N1, L [short]",0,M,Grey,17.4,GF-R3-U1,8
3608429681946,4302168,apparel,"TS ML RUN WARM BLUE H17B, M","TS ML RUN WARM BLUE H17B, M",0,M,Blue,28.55,GF-R3-U2,9
3608429784852,2500807,apparel,"LS TS RUN WARM M black, S","LS TS RUN WARM M black, S",0,M,Black,20.74,GF-R3-U3,8
3608392941832,5334732,apparel,"LS TS RUN 500 SEAMLESS BLACK, L [short]","LS TS RUN 500 SEAMLESS BLACK, L [short]",0,L,Black,45.11,GF-R3-U4,6
3608429646716,4924327,apparel,"Jacket Run Wind 100 W B, UK 12-14 / EU L","Jacket Run Wind 100 W B, UK 12-14 / EU L",0,L,Pink,29.88,GF-R3-U5,9
3608393403667,5657417,apparel,"PANT RUN 500 M WAR, UK 39\"" / EU XL (L32)","PANT RUN 500 M WAR, UK 39"" / EU XL (L32)",0,M,Red,15.27,GF-R3-U6,6
3608392930119,5476651,apparel,"JACKET RUN 100 M WARM GREY N, XL [short]","JACKET RUN 100 M WARM GREY N, XL [short]",0,M,Grey,55.42,GF-R3-U7,8
3608429646754,4924329,apparel,"Jacket Run Wind 100 W, UK 18-20 / EU 2XL","Jacket Run Wind 100 W, UK 18-20 / EU 2XL",0,XXL,Pink,47.58,GF-R4-U1,8
3608429706908,4100171,apparel,"LS TS RUN WARM SAND, 2XL","LS TS RUN WARM SAND, 2XL",0,XXL,Black,27.28,GF-R4-U2,11
3608390050826,4274469,apparel,"TS LS KIPRUN WARM REG DAR, L (Chest 39\"")","TS LS KIPRUN WARM REG DAR, L (Chest 39"")",0,L,Teal,45.67,GF-R4-U3,6
3608392939969,5476869,apparel,"LS TS 1/2 ZIP RUN 500 WARM GR, M [short]","LS TS 1/2 ZIP RUN 500 WARM GR, M [short]",0,M,Green,24.74,GF-R4-U4,8
3608429663867,4514117,apparel,"PANT RUN DRY W CN W Trou, UK10 / M (L29)","PANT RUN DRY W CN W Trou, UK10 / M (L29)",0,M,Grey,37.82,GF-R4-U5,8
3608429646730,4924325,apparel,"Jacket Run Wind 100 W Bla, UK 6-8 / EU S","Jacket Run Wind 100 W Bla, UK 6-8 / EU S",0,S,Green,16.86,GF-R4-U6,8
3608390272587,4896439,apparel,"LS TS 1/2 ZIP RUN 900 M WARM BLACK, M","LS TS 1/2 ZIP RUN 900 M WARM BLACK, M",0,M,Black,36.02,GF-R4-U7,10
3608392939419,5334694,apparel,"LS TS 1/2 ZIP RUN 500 WARM B, XL [short]","LS TS 1/2 ZIP RUN 500 WARM B, XL [short]",0,XL,Pink,15.51,GB-R1-U1,9
3608429645726,4302187,apparel,"JACKET WARM 500 WHITE L03B, L","JACKET WARM 500 WHITE L03B, L",0,L,White,47.53,GB-R1-U2,7
3608390279944,4899377,apparel,"Run900 strap 2025 white, 7-8 - 41/42","Run900 strap 2025 white, 7-8 - 41/42",0,OS,White,66.56,GB-R1-U3,5
3608429817048,2342118,apparel,"LS TS RUN WARM BLACK, UK 18 - EU 46","LS TS RUN WARM BLACK, UK 18 - EU 46",0,3XL,Black,47.43,GB-R1-U4,6
3608390050857,4274472,apparel,"TS LS KIPRUN WARM REG DA, XL (Chest 43\"")","TS LS KIPRUN WARM REG DA, XL (Chest 43"")",0,XL,Pink,59.93,GB-R1-U5,6
3608390195657,4513166,apparel,"KIPRUN WARM JACKET BLACK, XL (Chest 43\"")","KIPRUN WARM JACKET BLACK, XL (Chest 43"")",0,XL,Black,60.73,GB-R1-U6,11
3608393404008,5657389,apparel,"PANT RUN 500 M WAR, UK 39\"" / EU XL (L32)","PANT RUN 500 M WAR, UK 39"" / EU XL (L32)",0,M,Red,58.97,GB-R1-U7,10
3608429667223,4579638,apparel,"SHORT RUN DRY+ M BLACK CN, UK 32\"" / EU M","SHORT RUN DRY+ M BLACK CN, UK 32"" / EU M",0,M,Black,15.01,GB-R2-U1,6
3608429646723,4924328,apparel,"Jacket Run Wind 100 W Bla, UK 16 / EU XL","Jacket Run Wind 100 W Bla, UK 16 / EU XL",0,XL,Pink,52.31,GB-R2-U2,11
3608392941856,5334734,apparel,"LS TS RUN 500 SEAMLESS BLACK, XL [short]","LS TS RUN 500 SEAMLESS BLACK, XL [short]",0,XL,Black,21.08,GB-R2-U3,6
3608390195640,4513165,apparel,"KIPRUN WARM JACKET BLACK, L (Chest 39\"")","KIPRUN WARM JACKET BLACK, L (Chest 39"")",0,L,Black,35.69,GB-R2-U4,10
3608391876975,5165675,apparel,"TANK RUN 900 M LIGHT BLACK N07A, XL","TANK RUN 900 M LIGHT BLACK N07A, XL",0,M,Black,61.63,GB-R2-U5,8
3608390281626,4899427,apparel,"Run500 thin MID X2 white, 2.5-5 - 35/38","Run500 thin MID X2 white, 2.5-5 - 35/38",0,OS,White,30.13,GB-R2-U6,5
3608391555559,5206008,apparel,"RUNNING HEADBAND V2 ASIA colo 4, No Size","RUNNING HEADBAND V2 ASIA colo 4, No Size",0,OS,Black,50.68,GB-R2-U7,10
3608390296644,4925455,apparel,"SHORT DRY 100 M BLACK N07, UK 32\"" / EU M","SHORT DRY 100 M BLACK N07, UK 32"" / EU M",0,M,Black,33.3,GB-R3-U1,6
3608391531270,4925498,apparel,"LONG TIGHT RUN 100 M DRY, 34\"" / L (L32)","LONG TIGHT RUN 100 M DRY, 34"" / L (L32)",0,M,Pink,15.57,GB-R3-U2,11
3608391193515,5035980,apparel,"LONG TIGHT RUN 10, UK 43\"" / EU 2XL (L34)","LONG TIGHT RUN 10, UK 43"" / EU 2XL (L34)",0,XXL,Black,30.18,GB-R3-U3,7
3608390281589,4899423,apparel,"Run500 thin MID X2 black, 8.5-11 - 43/46","Run500 thin MID X2 black, 8.5-11 - 43/46",0,OS,Black,19.92,GB-R3-U4,9
3608391523169,4925496,apparel,"LONG TIGHT RUN 100 M DRY, 32\"" / M (L31)","LONG TIGHT RUN 100 M DRY, 32"" / M (L31)",0,M,Grey,20.5,GB-R3-U5,8
3608390051175,4274485,apparel,"LONGTIGHT KIPRUN WARM BLA, 34\"" / L (L32)","LONGTIGHT KIPRUN WARM BLA, 34"" / L (L32)",0,L,Black,53.93,GB-R3-U6,7
3608429743170,2730469,apparel,"SHORT RUN DRY W BLACK, S","SHORT RUN DRY W BLACK, S",0,S,Black,15.95,GB-R3-U7,7
3608390296668,4925457,apparel,"SHORT DRY 100 M BLACK N0, UK 37\"" / EU XL","SHORT DRY 100 M BLACK N0, UK 37"" / EU XL",0,M,Black,15.0,GB-R4-U1,10
3583783961340,2612379,apparel,"KIPRUN FIT TROUSER BLACK, L / W34 L32.","KIPRUN FIT TROUSER BLACK, L / W34 L32.",0,L,Black,53.58,GB-R4-U2,5
3608429645733,4302190,apparel,"JACKET WARM 500 WHITE L03B, XL","JACKET WARM 500 WHITE L03B, XL",0,XL,White,17.66,GB-R4-U3,10
3608429645719,4302188,apparel,"JACKET WARM 500 WHITE L03B, M","JACKET WARM 500 WHITE L03B, M",0,M,White,36.24,GB-R4-U4,10
3608391876951,5165673,apparel,"TANK RUN 900 M LIGHT BLACK N07A, M","TANK RUN 900 M LIGHT BLACK N07A, M",0,M,Black,33.91,GB-R4-U5,10
3583784816557,5085134,apparel,"Jacket Run Rain 300 W, UK 18-20 / EU 2XL","Jacket Run Rain 300 W, UK 18-20 / EU 2XL",0,XXL,Teal,57.42,GB-R4-U6,11
3608429663874,4514116,apparel,"PANT RUN DRY W CN W Tro, UK6-8 / S (L29)","PANT RUN DRY W CN W Tro, UK6-8 / S (L29)",0,S,Orange,39.94,GB-R4-U7,9
3608393422514,5648931,apparel,"1/2 ZIP LS TS RUN DRY 500 MEN, L [short]","1/2 ZIP LS TS RUN DRY 500 MEN, L [short]",0,L,Red,18.61,FR-01,7
3608390050833,4274470,apparel,"TS LS KIPRUN WARM REG DAR, M (Chest 37\"")","TS LS KIPRUN WARM REG DAR, M (Chest 37"")",0,M,Grey,18.19,FR-02,9
3608390279968,4899379,apparel,"Run900 strap 2025 white, 8.5-9.5 - 43/44","Run900 strap 2025 white, 8.5-9.5 - 43/44",0,OS,White,40.38,FR-03,5
3608390279289,4899370,apparel,"Run900 strap 2025 black, 7-8 - 41/42","Run900 strap 2025 black, 7-8 - 41/42",0,OS,Black,67.85,FR-04,10
3608390374694,4988921,apparel,"Run900 5 FINGERS black/blac, 7-8 - 41/42","Run900 5 FINGERS black/blac, 7-8 - 41/42",0,OS,Black,15.33,GF-R1-U1,11
3608391553814,5205427,apparel,"PANT RUN 100 M DR, UK 43\"" / EU 2XL (L32)","PANT RUN 100 M DR, UK 43"" / EU 2XL (L32)",0,M,Pink,17.02,GF-R1-U2,10
3608391587666,5214155,apparel,"LEGGING RUN 500 W WA, UK 10 / EU M (L29)","LEGGING RUN 500 W WA, UK 10 / EU M (L29)",0,M,White,15.05,GF-R1-U3,8
3608390279654,4898467,apparel,"Run500 thick mid X2 black, 2.5-5 - 35/38","Run500 thick mid X2 black, 2.5-5 - 35/38",0,OS,Black,43.56,GF-R1-U4,8
3608392941559,5474888,apparel,"LS TS RUN 500 SEAMLESS BLUE D, L [short]","LS TS RUN 500 SEAMLESS BLUE D, L [short]",0,L,Blue,32.88,GF-R1-U5,11
3608390195633,4513164,apparel,"KIPRUN WARM JACKET BLACK, M (Chest 37\"")","KIPRUN WARM JACKET BLACK, M (Chest 37"")",0,M,Black,52.56,GF-R1-U6,7
3608392436574,5445581,apparel,"CN JACKET WIND RUN 100 M NOIR, M [short]","CN JACKET WIND RUN 100 M NOIR, M [short]",0,M,Blue,27.65,GF-R1-U7,7
3608391821432,5304553,apparel,"JACKET RUN 500, UK 12-14 / EU L [short]","JACKET RUN 500, UK 12-14 / EU L [short]",0,L,Grey,18.39,GF-R2-U1,8
3608390042609,4247941,apparel,"KIPRUN LONGTIGHT DRY BLAC, 34\"" / L (L32)","KIPRUN LONGTIGHT DRY BLAC, 34"" / L (L32)",0,L,Green,24.59,GF-R2-U2,11
3608390279951,4899378,apparel,"Run900 strap 2025 white, 5.5-6.5 - 39/40","Run900 strap 2025 white, 5.5-6.5 - 39/40",0,OS,White,23.13,GF-R2-U3,5
3608392929533,5334840,apparel,"JACKET RUN 100 M WARM BLACK N, M [short]","JACKET RUN 100 M WARM BLACK N, M [short]",0,M,Black,43.48,GF-R2-U4,8
3608392941566,5474889,apparel,"LS TS RUN 500 SEAMLESS BLUE, XL [short]","LS TS RUN 500 SEAMLESS BLUE, XL [short]",0,XL,Blue,20.08,GF-R2-U5,9
3608392436178,5445825,apparel,"CN JACKET WIND RUN 100 M WHIT, M [short]","CN JACKET WIND RUN 100 M WHIT, M [short]",0,M,Red,18.63,GF-R2-U6,8
3608392934476,5334690,apparel,"LS TS 1/2 ZIP RUN 500 WARM BL, M [short]","LS TS 1/2 ZIP RUN 500 WARM BL, M [short]",0,M,Teal,15.65,GF-R2-U7,11
3583784783903,4884409,apparel,"Pant WARM 100 M BLUE G19B, 30\"" / S (L31)","Pant WARM 100 M BLUE G19B, 30"" / S (L31)",0,M,Blue,46.68,GF-R3-U1,6
3608391587642,5214153,apparel,"LEGGING RUN 500 W W, UK 6-8 / EU S (L29)","LEGGING RUN 500 W W, UK 6-8 / EU S (L29)",0,S,White,59.05,GF-R3-U2,11
3608391821449,5304554,apparel,"JACKET RUN 500 W W, UK 10 / EU M [short]","JACKET RUN 500 W W, UK 10 / EU M [short]",0,M,Orange,55.84,GF-R3-U3,5
3608393403865,5657401,apparel,"PANT RUN 500 M WARM, UK 34 / EU L (L32)","PANT RUN 500 M WARM, UK 34 / EU L (L32)",0,M,Navy,41.14,GF-R3-U4,11
3608390374908,4988922,apparel,"Run900 5 FINGERS black/, 8.5-9.5 - 43/44","Run900 5 FINGERS black/, 8.5-9.5 - 43/44",0,OS,Black,37.85,GF-R3-U5,8
3608391011109,5102874,apparel,"Pant Ski & Snb 100 W Black, UK 8 / FR 38","Pant Ski & Snb 100 W Black, UK 8 / FR 38",0,OS,Black,56.06,GF-R3-U6,9
3608429658252,4391374,apparel,"T SHIRT RUN DRY M BLUE E18A, L","T SHIRT RUN DRY M BLUE E18A, L",0,M,Blue,57.03,GF-R3-U7,9
3608390203819,4577909,apparel,"LS TS KIPRUN SKINCARE W, UK16-18 / EU XL","LS TS KIPRUN SKINCARE W, UK16-18 / EU XL",0,XL,Pink,22.2,GF-R4-U1,9
3608392925894,5476649,apparel,"JACKET RUN 100 M WARM GREY N1, M [short]","JACKET RUN 100 M WARM GREY N1, M [short]",0,M,Grey,15.79,GF-R4-U2,5
3608429804789,2501393,apparel,"TSHIRT RUN DRY M BLACK, M","TSHIRT RUN DRY M BLACK, M",0,M,Black,55.57,GF-R4-U3,6
3608390281114,4898475,apparel,"Run500 thick mid X2 whit, 8.5-11 - 43/46","Run500 thick mid X2 whit, 8.5-11 - 43/46",0,OS,Navy,38.19,GF-R4-U4,11
3608429663898,4514118,apparel,"PANT RUN DRY W CN W T, UK12-14 / L (L29)","PANT RUN DRY W CN W T, UK12-14 / L (L29)",0,L,Teal,28.13,GF-R4-U5,9
3608390793075,5085129,apparel,"Jacket Run Rain 300 W Wh, UK 4-6 / EU XS","Jacket Run Rain 300 W Wh, UK 4-6 / EU XS",0,XS,Blue,17.56,GF-R4-U6,7
3608391876968,5165674,apparel,"TANK RUN 900 M LIGHT BLACK N07A, L","TANK RUN 900 M LIGHT BLACK N07A, L",0,M,Black,28.19,GF-R4-U7,10
3608391552732,5205419,apparel,"PANT RUN 100 M DRY, UK 30\"" / EU S (L31)","PANT RUN 100 M DRY, UK 30"" / EU S (L31)",0,M,Black,48.59,GB-R1-U1,9
3583783961357,2612381,apparel,"KIPRUN FIT TROUSER BLACK, M / W32 L31.","KIPRUN FIT TROUSER BLACK, M / W32 L31.",0,M,Black,66.81,GB-R1-U2,10
3608391816247,5280808,apparel,"Run900 Thin UC 2025 white, 7-8 - 41/42","Run900 Thin UC 2025 white, 7-8 - 41/42",0,OS,White,16.19,GB-R1-U3,10
3608392941818,5334730,apparel,"LS TS RUN 500 SEAMLESS BLACK, M [short]","LS TS RUN 500 SEAMLESS BLACK, M [short]",0,M,Black,30.6,GB-R1-U4,10
3608393422521,5648932,apparel,"1/2 ZIP LS TS RUN DRY 500 ME, XL [short]","1/2 ZIP LS TS RUN DRY 500 ME, XL [short]",0,XL,Teal,17.63,GB-R1-U5,9
3608429706854,4100175,apparel,"LS TS RUN WARM SAND, S","LS TS RUN WARM SAND, S",0,S,Navy,25.2,GB-R1-U6,5
