classification_key,parent_key,name,lifecycle_type,attributes_schema
accessories.chest-strap,accessories,Chest strap,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.fingerless-gloves,accessories,Fingerless gloves,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.flask,accessories,Flask,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.glove-liner,accessories,Glove liner,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.gloves,accessories,Gloves,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.hat,accessories,Hat,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.headband,accessories,Headband,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.headlamp,accessories,Headlamp,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.hiking-pole,accessories,Hiking pole,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.lantern,accessories,Lantern,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.mittens,accessories,Mittens,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.neck-warmer,accessories,Neck warmer,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.socks,accessories,Socks,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.thermos,accessories,Thermos,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.towel,accessories,Towel,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.water-bag,accessories,Water bag,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.water-bottle-waist-pack,accessories,Water bottle waist pack,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
accessories.water-pouch,accessories,Water pouch,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""accessory_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.3-in-1-jacket,apparel,3 in 1 jacket,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.base-layer,apparel,Base layer,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.baselayer-bottom,apparel,Baselayer bottom,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.boxer-shorts,apparel,Boxer shorts,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.boxers,apparel,Boxers,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.cycling-bib-shorts,apparel,Cycling bib shorts,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.cycling-shorts,apparel,Cycling shorts,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.down-jacket,apparel,Down jacket,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.fleece,apparel,Fleece,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.jacket,apparel,Jacket,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.leggings,apparel,Leggings,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.long-sleeved-jersey,apparel,Long-sleeved jersey,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.long-sleeved-t-shirt,apparel,Long-sleeved t-shirt,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.midlayer,apparel,Midlayer,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.overalls,apparel,Overalls,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.padded-jacket,apparel,Padded Jacket,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.parka,apparel,Parka,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.pullover,apparel,Pullover,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.rain-jacket,apparel,Rain Jacket,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.rain-poncho,apparel,Rain Poncho,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.short-sleeved-jersey,apparel,Short-sleeved jersey,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.shorts,apparel,Shorts,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.ski-pants,apparel,Ski pants,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.ski-suit,apparel,Ski suit,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.skort,apparel,Skort,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.softshell,apparel,Softshell,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.sports-bra,apparel,Sports bra,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.sweatshirt,apparel,Sweatshirt,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.t-shirt,apparel,T-shirt,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.tank,apparel,Tank,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.trousers-pants,apparel,Trousers/pants,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.windbreaker,apparel,Windbreaker,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
apparel.zip-off-pants,apparel,Zip-Off Pants,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""apparel_alpha"",""x-facet"":true}},""required"":[""color"",""brand""]}"
bag_pack.backpack,bag_pack,Backpack,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""capacity"":{""type"":""string"",""x-coded"":false,""x-system"":""volume_liters"",""x-facet"":true}},""required"":[""color"",""brand""]}"
bag_pack.bag-protector,bag_pack,Bag protector,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""capacity"":{""type"":""string"",""x-coded"":false,""x-system"":""volume_liters"",""x-facet"":true}},""required"":[""color"",""brand""]}"
bag_pack.belt-bag,bag_pack,Belt bag,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""capacity"":{""type"":""string"",""x-coded"":false,""x-system"":""volume_liters"",""x-facet"":true}},""required"":[""color"",""brand""]}"
bag_pack.sport-bag,bag_pack,Sport bag,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""capacity"":{""type"":""string"",""x-coded"":false,""x-system"":""volume_liters"",""x-facet"":true}},""required"":[""color"",""brand""]}"
bag_pack.travel-bag,bag_pack,Travel bag,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""capacity"":{""type"":""string"",""x-coded"":false,""x-system"":""volume_liters"",""x-facet"":true}},""required"":[""color"",""brand""]}"
footwear.cycling-shoes,footwear,Cycling Shoes,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size_us"":{""type"":""string"",""x-coded"":false,""x-system"":""footwear_us"",""x-facet"":true}},""required"":[""color"",""brand""]}"
footwear.sandals,footwear,Sandals,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size_us"":{""type"":""string"",""x-coded"":false,""x-system"":""footwear_us"",""x-facet"":true}},""required"":[""color"",""brand""]}"
footwear.shoes,footwear,Shoes,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size_us"":{""type"":""string"",""x-coded"":false,""x-system"":""footwear_us"",""x-facet"":true}},""required"":[""color"",""brand""]}"
footwear.snow-boots,footwear,Snow boots,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size_us"":{""type"":""string"",""x-coded"":false,""x-system"":""footwear_us"",""x-facet"":true}},""required"":[""color"",""brand""]}"
footwear.snowshoe,footwear,Snowshoe,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size_us"":{""type"":""string"",""x-coded"":false,""x-system"":""footwear_us"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.bed-base,outdoor,Bed base,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.camp-bed,outdoor,Camp bed,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.camping-stove,outdoor,Camping stove,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.cookset,outdoor,Cookset,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.foam-mat,outdoor,Foam mat,serialized,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
outdoor.folding-chair,outdoor,Folding chair,display_model,"{""type"":""object"",""properties"":{""color"":{""type"":""string"",""x-coded"":true,""x-lookup"":""color"",""x-facet"":true},""brand"":{""type"":""string"",""x-coded"":false,""x-facet"":true},""size"":{""type"":""string"",""x-coded"":false,""x-system"":""equipment_mixed"",""x-facet"":true}},""required"":[""color"",""brand""]}"
